Timestamp,Place,Region,Country,Continent,Current Temp (°C),Feels Like Temp (°C),Condition
2024-09-02 19:44:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.2,28.7,Clear
2024-09-02 19:44:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:49:00,Berlin,Berlin,Germany,Europe/Berlin,22.3,24.5,Clear
2024-09-02 20:49:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:49:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.2,30.4,Partly cloudy
2024-09-02 19:49:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:54:00,Berlin,Berlin,Germany,Europe/Berlin,22.3,24.5,Clear
2024-09-02 20:54:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:54:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.2,30.4,Partly cloudy
2024-09-02 19:54:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:59:00,Berlin,Berlin,Germany,Europe/Berlin,22.3,24.5,Clear
2024-09-02 20:59:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:59:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.2,30.4,Partly cloudy
2024-09-02 19:59:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 21:04:00,Berlin,Berlin,Germany,Europe/Berlin,22.4,24.6,Clear
2024-09-02 21:04:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:04:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:04:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:09:00,Berlin,Berlin,Germany,Europe/Berlin,22.4,24.6,Clear
2024-09-02 21:09:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:09:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:09:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:14:00,Berlin,Berlin,Germany,Europe/Berlin,22.4,24.6,Clear
2024-09-02 21:14:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:14:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:14:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:19:00,Berlin,Berlin,Germany,Europe/Berlin,21.3,21.3,Clear
2024-09-02 21:19:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:19:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:19:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:24:00,Berlin,Berlin,Germany,Europe/Berlin,21.3,21.3,Clear
2024-09-02 21:24:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:24:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:24:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:29:00,Berlin,Berlin,Germany,Europe/Berlin,21.3,21.3,Clear
2024-09-02 21:29:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:29:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:29:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:34:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:34:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:34:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:34:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:39:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:39:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:39:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:39:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:44:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:44:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:44:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,31.0,Partly cloudy
2024-09-02 20:44:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:49:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:49:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:49:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.0,28.6,Clear
2024-09-02 20:49:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:54:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:54:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:54:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.0,28.6,Clear
2024-09-02 20:54:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 21:59:00,Berlin,Berlin,Germany,Europe/Berlin,21.2,21.2,Clear
2024-09-02 21:59:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.9,18.9,Patchy rain nearby
2024-09-02 20:59:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.0,28.6,Clear
2024-09-02 20:59:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.2,26.6,Patchy light drizzle
2024-09-02 22:04:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:04:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:04:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.1,28.7,Clear
2024-09-02 21:04:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:09:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:09:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:09:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.1,28.7,Clear
2024-09-02 21:09:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:14:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:14:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:14:00,Lagos,Lagos,Nigeria,Africa/Lagos,26.1,28.7,Clear
2024-09-02 21:14:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:19:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:19:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:19:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 21:19:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:24:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:24:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:24:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 21:24:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:30:00,Berlin,Berlin,Germany,Europe/Berlin,21.4,21.4,Clear
2024-09-02 22:30:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:30:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 21:30:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:35:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 22:35:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:35:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.3,27.5,Partly cloudy
2024-09-02 21:35:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:40:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 22:40:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:40:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.3,27.5,Partly cloudy
2024-09-02 21:40:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:45:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 22:45:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:45:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.3,27.5,Partly cloudy
2024-09-02 21:45:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:50:00,Berlin,Berlin,Germany,Europe/Berlin,20.1,20.1,Clear
2024-09-02 22:50:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:50:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.0,27.1,Partly cloudy
2024-09-02 21:50:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 22:55:00,Berlin,Berlin,Germany,Europe/Berlin,20.1,20.1,Clear
2024-09-02 22:55:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.5,18.5,Patchy rain nearby
2024-09-02 21:55:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.0,27.1,Partly cloudy
2024-09-02 21:55:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.0,26.4,Patchy light drizzle
2024-09-02 23:00:00,Berlin,Berlin,Germany,Europe/Berlin,20.1,20.1,Clear
2024-09-02 23:00:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:00:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.0,27.1,Partly cloudy
2024-09-02 22:00:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:05:00,Berlin,Berlin,Germany,Europe/Berlin,20.0,20.0,Clear
2024-09-02 23:05:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:05:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:05:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:10:00,Berlin,Berlin,Germany,Europe/Berlin,20.0,20.0,Clear
2024-09-02 23:10:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:10:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:10:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:15:00,Berlin,Berlin,Germany,Europe/Berlin,20.0,20.0,Clear
2024-09-02 23:15:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:15:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:15:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:20:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 23:20:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:20:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 22:20:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:25:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 23:25:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:25:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 22:25:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:30:00,Berlin,Berlin,Germany,Europe/Berlin,20.3,20.3,Clear
2024-09-02 23:30:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:30:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.2,27.4,Partly cloudy
2024-09-02 22:30:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:35:00,Berlin,Berlin,Germany,Europe/Berlin,20.4,20.4,Clear
2024-09-02 23:35:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:35:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:35:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:40:00,Berlin,Berlin,Germany,Europe/Berlin,20.4,20.4,Clear
2024-09-02 23:40:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:40:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:40:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-02 23:45:00,Berlin,Berlin,Germany,Europe/Berlin,20.4,20.4,Clear
2024-09-02 23:45:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.2,18.2,Patchy rain nearby
2024-09-02 22:45:00,Lagos,Lagos,Nigeria,Africa/Lagos,25.1,27.2,Partly cloudy
2024-09-02 22:45:00,Ichida,Anambra,Nigeria,Africa/Lagos,23.7,26.1,Partly Cloudy
2024-09-03 07:19:00,Berlin,Berlin,Germany,Europe/Berlin,17.0,17.0,Sunny
2024-09-03 07:19:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:19:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:19:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:24:00,Berlin,Berlin,Germany,Europe/Berlin,17.0,17.0,Sunny
2024-09-03 07:24:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:24:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:24:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:29:00,Berlin,Berlin,Germany,Europe/Berlin,17.0,17.0,Sunny
2024-09-03 07:29:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:29:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:29:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:34:00,Berlin,Berlin,Germany,Europe/Berlin,18.1,18.1,Sunny
2024-09-03 07:34:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:34:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:34:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:39:00,Berlin,Berlin,Germany,Europe/Berlin,18.1,18.1,Sunny
2024-09-03 07:39:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:39:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:39:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:44:00,Berlin,Berlin,Germany,Europe/Berlin,18.1,18.1,Sunny
2024-09-03 07:44:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:44:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.3,25.3,Partly cloudy
2024-09-03 06:44:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:49:00,Berlin,Berlin,Germany,Europe/Berlin,18.2,18.2,Sunny
2024-09-03 07:49:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:49:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.1,25.2,Partly cloudy
2024-09-03 06:49:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:54:00,Berlin,Berlin,Germany,Europe/Berlin,18.2,18.2,Sunny
2024-09-03 07:54:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:54:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.1,25.2,Partly cloudy
2024-09-03 06:54:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 07:59:00,Berlin,Berlin,Germany,Europe/Berlin,18.2,18.2,Sunny
2024-09-03 07:59:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,18.4,18.4,Sunny
2024-09-03 06:59:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.1,25.2,Partly cloudy
2024-09-03 06:59:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.0,22.0,Fog
2024-09-03 08:04:00,Berlin,Berlin,Germany,Europe/Berlin,18.3,18.3,Sunny
2024-09-03 08:04:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.0,20.0,Sunny
2024-09-03 07:04:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.0,25.1,Partly cloudy
2024-09-03 07:04:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.4,24.9,Fog
2024-09-03 08:09:00,Berlin,Berlin,Germany,Europe/Berlin,18.3,18.3,Sunny
2024-09-03 08:09:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.0,20.0,Sunny
2024-09-03 07:09:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.0,25.1,Partly cloudy
2024-09-03 07:09:00,Ichida,Anambra,Nigeria,Africa/Lagos,22.4,24.9,Fog
2024-09-03 08:14:00,Berlin,Berlin,Germany,Europe/Berlin,18.3,18.3,Sunny
2024-09-03 08:14:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.0,20.0,Sunny
2024-09-03 07:14:00,Lagos,Lagos,Nigeria,Africa/Lagos,23.0,25.1,Partly cloudy
